# 预测分析表
                                                                         while                                                         for                                                    continue                                                       break                                                          if                                                        else                                                       float                                                         int                                                        char                                                        void                                                      return                                                           +                                                           -                                                           *                                                           /                                                           %                                                           =                                                           >                                                           <                                                          ==                                                          <=                                                          >=                                                          !=                                                          ++                                                          --                                                          &&                                                          ||                                                          +=                                                          -=                                                          *=                                                          /=                                                          %=                                                           (                                                           )                                                           {                                                           }                                                           ;                                                           ,                                                           [                                                           ]                                                         IDN                                                         INT                                                       FLOAT                                                        CHAR                                                         STR                                                           $
                 S                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                        func                                                        func                                                        func                                                        func                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                        func                                                       error                                                       error                                                       error                                                       error                                                       error
              func                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                 type IDN ( args ) func_body                                 type IDN ( args ) func_body                                 type IDN ( args ) func_body                                 type IDN ( args ) func_body                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                 type IDN ( args ) func_body                                                       error                                                       error                                                       error                                                       error                                                       error
              type                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       float                                                         int                                                        char                                                        void                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                           $                                                       error                                                       error                                                       error                                                       error                                                           $
              args                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                type IDN arg                                                type IDN arg                                                type IDN arg                                                type IDN arg                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                           $                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                type IDN arg                                                       error                                                       error                                                       error                                                       error                                                           $
               arg                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                           $                                                       error                                                       error                                                       error                                              , type IDN arg                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                           $
         func_body                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       block                                                       error                                                           ;                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error
             block                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                      { define_stmts stmts }                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error
      define_stmts                                                           $                                                           $                                                           $                                                           $                                                           $                                                       error                           type IDN define_stmt define_stmts                           type IDN define_stmt define_stmts                           type IDN define_stmt define_stmts                           type IDN define_stmt define_stmts                                                           $                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                           $                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                           $                                                           $                                                           $                                                           $                                                           $                                                           $
       define_stmt                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                 init vars ;                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                 init vars ;                                                 init vars ;                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error
              init                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                     = const                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                           $                                                           $                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                           $
              vars                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                           $                                             , IDN init vars                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                           $
             stmts                                                  stmt stmts                                                  stmt stmts                                                  stmt stmts                                                  stmt stmts                                                  stmt stmts                                                       error                                                       error                                                       error                                                       error                                                       error                                                  stmt stmts                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                  stmt stmts                                                       error                                                       error                                                           $                                                       error                                                       error                                                       error                                                       error                                                  stmt stmts                                                  stmt stmts                                                  stmt stmts                                                  stmt stmts                                                  stmt stmts                                                           $
              stmt                                              iteration_stmt                                              iteration_stmt                                                   jump_stmt                                                   jump_stmt                                                 branch_stmt                                                       error                                                       error                                                       error                                                       error                                                       error                                                   jump_stmt                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                 assign_stmt                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                 assign_stmt                                                 assign_stmt                                                 assign_stmt                                                 assign_stmt                                                 assign_stmt                                                       error
       assign_stmt                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                expression ;                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                expression ;                                                expression ;                                                expression ;                                                expression ;                                                expression ;                                                       error
